"year","league","division","team","wins","games","runs","runs_allowed","attendance"
2000,"AL","West","ANA",82,162,864,869,2066982
2000,"NL","West","ARI",85,162,792,754,2942251
2000,"NL","East","ATL",95,162,810,714,3234304
2000,"AL","East","BAL",74,162,794,913,3297031
2000,"AL","East","BOS",85,162,792,745,2585895
2000,"AL",NA,"CHA",95,162,978,839,1947799
2000,"NL","Central","CHN",65,162,764,904,2789511
2000,"NL","Central","CIN",85,163,825,765,2577371
2000,"AL","Central","CLE",90,162,950,816,3456278
2000,"NL","West","COL",82,162,968,897,3295129
2000,"AL","Central","DET",79,162,823,827,2438617
2000,"NL","East","FLO",79,161,731,797,1218326
2000,"NL","Central","HOU",72,162,938,944,3056139
2000,"AL","Central","KCA",77,162,879,930,1564847
2000,"NL","West","LAN",86,162,798,729,2880242
2000,"NL","Central","MIL",73,163,740,826,1573621
2000,"AL","Central","MIN",69,162,748,880,1000760
2000,"NL","East","MON",67,162,738,902,926272
2000,"AL","East","NYA",87,161,871,814,3055435
2000,"NL","East","NYN",94,162,807,738,2820530
2000,"AL","West","OAK",91,161,947,813,1603744
2000,"NL","East","PHI",65,162,708,830,1612769
2000,"NL","Central","PIT",69,162,793,888,1748908
2000,"NL","West","SDN",76,162,752,815,2352443
2000,"AL","West","SEA",91,162,907,780,2914624
2000,"NL","West","SFN",97,162,925,747,3318800
2000,"NL","Central","SLN",95,162,887,771,3336493
2000,"AL","East","TBA",69,NA,733,842,1449673
2000,"AL","West","TEX",71,162,848,974,2588401
2000,"AL","East","TOR",83,162,861,908,1705712
2001,"AL","West","ANA",75,162,691,730,2000919
2001,"NL","West","ARI",92,162,818,677,2736451
2001,"NL","East","ATL",88,162,729,643,2823530
2001,"AL","East","BAL",63,162,687,829,3094841
2001,"AL","East","BOS",82,161,772,745,2625333
2001,"AL","Central","CHA",83,162,798,795,1766172
2001,"NL","Central","CHN",88,162,777,701,2779465
2001,"NL","Central","CIN",66,162,735,850,1879757
2001,"AL","Central","CLE",91,162,897,821,3175523
2001,"NL","West","COL",73,162,923,906,3166821
2001,"AL","Central","DET",66,162,724,876,1921305
2001,"NL","East","FLO",76,162,742,744,1261226
2001,"NL","Central","HOU",93,NA,847,769,2904277
2001,"AL","Central","KCA",65,162,729,858,1536371
2001,"NL","West","LAN",86,162,758,744,3017143
2001,"NL","Central","MIL",68,162,740,806,2811041
2001,"AL","Central","MIN",85,162,771,766,1782929
2001,"NL","East","MON",68,162,670,812,642745
2001,"AL","East","NYA",95,161,804,713,3264907
2001,"NL","East","NYN",82,162,642,713,2658330
2001,"AL","West","OAK",102,162,884,645,2133277
2001,"NL","East","PHI",86,162,746,719,1782054
2001,"NL","Central","PIT",62,162,657,858,2464870
2001,"NL","West","SDN",79,162,789,812,2378128
2001,"AL","West","SEA",116,162,927,627,3507326
2001,"NL","West","SFN",90,162,799,748,3311958
2001,"NL","Central","SLN",93,162,814,684,3109578
2001,"AL","East","TBA",62,162,672,887,1298365
2001,"AL","West","TEX",73,162,890,968,2831021
2001,"AL","East","TOR",80,162,767,753,1915438
2002,"AL","West","ANA",99,162,851,644,2305547
2002,"NL","West","ARI",98,162,819,674,3198977
2002,"NL","East","ATL",101,161,708,565,2603484
2002,"AL","East","BAL",67,162,NA,773,2682439
2002,"AL","East","BOS",93,162,859,665,2650862
2002,"AL","Central","CHA",81,162,856,798,1676911
2002,"NL","Central","CHN",67,162,706,759,2693096
2002,"NL","Central","CIN",78,162,709,774,1855787
2002,"AL","Central","CLE",74,162,739,837,2616940
2002,"NL","West","COL",73,162,778,898,2737838
2002,"AL","Central","DET",55,161,575,864,1503623
2002,"NL","East","FLO",79,162,699,763,813118
2002,"NL","Central","HOU",84,162,749,695,2517357
2002,"AL","Central","KCA",62,162,737,891,1323036
2002,"NL","West","LAN",92,162,713,643,3131255
2002,"NL","Central","MIL",56,162,627,821,1969153
2002,"AL","Central","MIN",94,161,768,712,1924473
2002,"NL","East","MON",83,162,735,718,812045
2002,"AL","East","NYA",103,161,897,697,3465807
2002,"NL","East","NYN",75,161,690,703,2804838
2002,"AL","West","OAK",103,162,800,654,2169811
2002,"NL","East","PHI",80,161,710,724,1618467
2002,"NL","Central","PIT",72,0,641,730,1784988
2002,"NL","West","SDN",66,162,662,815,2220601
2002,"AL","West","SEA",93,162,814,699,3542938
2002,"NL","West","SFN",95,162,783,616,3253203
2002,"NL","Central","SLN",97,162,787,648,3011756
2002,"AL","East","TBA",55,161,673,918,1065742
2002,"AL","West","TEX",72,162,843,882,2352397
2002,"AL","East","TOR",78,162,813,828,1637900
2003,"AL","West","ANA",77,162,736,743,3061094
2003,"NL","West","ARI",84,162,717,685,2805542
2003,"NL","East","ATL",101,162,907,740,2401084
2003,"AL","East","BAL",71,163,743,820,2454523
2003,"AL","East","BOS",95,162,961,809,2724165
2003,"AL","Central","CHA",86,162,791,715,1939524
2003,"NL","Central","CHN",88,162,724,683,2962630
2003,"NL","Central","CIN",69,162,694,886,2355259
2003,"AL","Central","CLE",68,162,699,778,1730002
2003,"NL","West","COL",74,NA,853,892,2334085
2003,"AL","Central","DET",43,162,591,928,1368245
2003,"NL","East","FLO",91,162,751,692,1303215
2003,"NL","Central","HOU",87,162,805,677,2454241
2003,"AL","Central","KCA",83,162,836,867,1779895
2003,"NL","West","LAN",85,162,574,556,3138626
2003,"NL","Central","MIL",68,162,714,873,1700354
2003,"AL","Central","MIN",90,162,801,758,1946011
2003,"NL","East","MON",83,162,711,716,1025639
2003,"AL","East","NYA",101,163,877,716,3465600
2003,NA,"East","NYN",66,161,642,754,2140599
2003,"AL","West","OAK",96,162,768,643,2216596
2003,"NL","East","PHI",86,162,791,697,2259948
2003,"NL","Central","PIT",75,162,753,801,1636751
2003,"NL","West","SDN",64,162,678,831,2030084
2003,"AL","West","SEA",93,162,795,637,3268509
2003,"NL","West","SFN",100,161,755,638,3264898
2003,"NL","Central","SLN",85,162,876,796,2910386
2003,"AL","East","TBA",63,162,715,852,1058695
2003,"AL","West","TEX",71,162,826,969,2094394
2003,"AL","East","TOR",86,162,894,826,1799458
2004,"AL","West","ANA",92,162,836,734,3375677
2004,"NL","West","ARI",51,162,615,899,2519560
2004,"NL","East","ATL",96,162,803,668,2327565
2004,"AL","East","BAL",78,162,842,830,2744018
2004,"AL","East","BOS",98,162,949,768,2837294
2004,"AL","Central","CHA",83,162,865,831,1930537
2004,"NL","Central","CHN",89,162,789,665,3170154
2004,"NL","Central","CIN",76,162,750,907,2287250
2004,"AL","Central","CLE",80,162,858,857,1814401
2004,"NL","West","COL",68,162,833,923,2338069
2004,"AL","Central","DET",72,162,827,844,1917004
2004,"NL","East","FLO",83,162,718,700,1723105
2004,"NL","Central","HOU",92,162,803,698,3087872
2004,"AL","Central","KCA",58,162,720,905,1661478
2004,"NL","West","LAN",93,162,761,684,3488283
2004,"NL","Central","MIL",67,161,634,757,2062382
2004,"AL","Central","MIN",92,162,780,715,1911490
2004,"NL","East","MON",67,162,635,769,749550
