"age","job","marital","education","balance","duration","campaign","subscribed"
30,"unemployed","married","primary",1787,79,1,"no"
33,"services","married","secondary",4789,220,1,"no"
35,"management","single","tertiary",1350,185,1,"no"
30,"management","married","tertiary",1476,199,4,"no"
59,"blue-collar","married","secondary",0,226,1,"no"
35,"management","single","tertiary",747,141,2,"no"
36,"self-employed","married","tertiary",307,341,1,"no"
39,"technician","married","secondary",147,151,2,"no"
41,"entrepreneur","married","tertiary",221,57,2,"no"
43,"services","married","primary",-88,313,1,"no"
39,"services","married","secondary",9374,273,1,"no"
43,"admin.","married","secondary",264,113,2,"no"
36,"technician","married","tertiary",1109,328,2,"no"
20,"student","single","secondary",502,261,1,"yes"
31,"blue-collar","married","secondary",360,89,1,"no"
40,"management","married","tertiary",194,189,2,"no"
56,"technician","married","secondary",4073,239,5,"no"
37,"admin.","single","tertiary",2317,114,1,"no"
25,"blue-collar","single","primary",-221,250,1,"no"
31,"services","married","secondary",132,148,1,"no"
38,"management","divorced",NA,0,96,2,"no"
42,"management","divorced","tertiary",16,140,3,"no"
44,"services","single","secondary",106,109,2,"no"
44,"entrepreneur","married","secondary",93,125,2,"no"
26,"housemaid","married","tertiary",543,169,3,"no"
41,"management","married","tertiary",5883,182,2,"no"
55,"blue-collar","married","primary",627,247,1,"no"
67,"retired","married",NA,696,119,1,"no"
56,"self-employed","married","secondary",784,149,2,"no"
53,"admin.","married","secondary",105,74,2,"no"
68,"retired","divorced","secondary",4189,897,2,"yes"
31,"technician","married","secondary",171,81,3,"no"
59,"management","married","secondary",42,40,1,"no"
32,"management","single","tertiary",2536,958,6,"yes"
49,"technician","married","tertiary",1235,354,3,"yes"
42,"admin.","divorced","secondary",1811,150,1,"no"
78,"retired","divorced","primary",229,97,1,"yes"
32,"blue-collar","married","secondary",2089,132,1,"yes"
33,"management","married","secondary",3935,765,1,"yes"
23,"services","single","tertiary",363,16,18,"no"
38,"management","single","tertiary",11971,609,2,"no"
36,"management","single","tertiary",553,106,2,"no"
52,"blue-collar","married","secondary",1117,365,1,"no"
32,"technician","married","tertiary",396,205,3,"no"
32,"technician","single","tertiary",2204,11,4,"no"
34,"management","single","tertiary",872,105,2,"no"
55,"blue-collar","married","primary",145,59,3,"no"
26,"blue-collar","married","primary",0,425,1,"no"
32,"entrepreneur","single","primary",-849,204,1,"no"
61,"admin.","married",NA,4629,181,1,"yes"
45,"blue-collar","divorced","primary",844,1018,3,"yes"
37,"technician","single","secondary",228,1740,2,"no"
38,"technician","single","secondary",50,98,2,"no"
34,"technician","married","tertiary",1539,441,1,"yes"
53,"blue-collar","married","secondary",2231,272,3,"no"
48,"admin.","married","secondary",3064,159,2,"no"
57,"management","married","secondary",82,140,1,"no"
33,"self-employed","single","tertiary",2155,295,1,"no"
36,"retired","single","secondary",101,314,1,"no"
54,"technician","divorced","secondary",784,579,1,"no"
41,"blue-collar","married","primary",-516,554,3,"no"
63,"retired","married","secondary",415,323,1,"no"
48,"management","married","tertiary",5887,227,2,"no"
48,"services","married","secondary",1355,134,2,"no"
56,"admin.","married","secondary",16873,223,1,"no"
51,"blue-collar","divorced","secondary",203,134,1,"no"
31,"services","married","secondary",338,155,1,"no"
29,"technician","married","secondary",444,130,4,"no"
41,"management","married","secondary",0,630,3,"no"
32,"technician","single","tertiary",360,164,2,"no"
37,"management","married","tertiary",0,268,2,"yes"
42,"entrepreneur","divorced","tertiary",2,380,1,"no"
31,"management","single","tertiary",6248,154,2,"no"
41,"services","married","tertiary",412,154,5,"no"
56,"retired","married","secondary",344,221,1,"no"
54,"management","divorced","tertiary",3222,67,2,"no"
41,"blue-collar","divorced","secondary",174,367,2,"no"
40,"technician","single","secondary",591,87,6,"no"
50,"blue-collar","divorced","primary",388,701,1,"no"
40,"unemployed","married","secondary",219,204,2,"no"
27,"admin.","divorced","secondary",451,652,1,"yes"
60,"retired","married","primary",5,63,2,"no"
28,"admin.","single","secondary",177,150,1,"no"
52,"services","married","secondary",657,398,2,"yes"
37,"management","married","tertiary",1315,224,1,"yes"
51,"blue-collar","married","primary",1466,406,2,"no"
41,"technician","single","secondary",879,60,4,"no"
35,"blue-collar","single","primary",293,521,2,"no"
38,"admin.","married","secondary",424,279,1,"no"
34,"blue-collar","married","secondary",1831,203,2,"no"
39,"blue-collar","married","primary",111,201,2,"no"
34,"blue-collar","married","primary",455,372,3,"no"
27,"services","single","secondary",-195,391,1,"yes"
32,"management","single","tertiary",3616,165,2,"no"
57,"blue-collar","married","secondary",14093,231,5,"no"
41,"unknown","single","tertiary",1567,291,2,"no"
41,"admin.","married","tertiary",5426,149,2,"no"
30,"admin.","single","tertiary",261,233,1,"no"
36,"blue-collar","divorced","secondary",2843,473,1,"no"
31,"unemployed","single","primary",406,736,1,"yes"
36,"blue-collar","married","secondary",0,337,1,"no"
38,"management","single","tertiary",493,553,1,"no"
49,"technician","married","secondary",5996,345,2,"no"
57,"services","single","primary",3777,65,2,"no"
34,"management","single","secondary",524,9,1,"no"
32,"management","single","tertiary",574,259,2,"no"
37,"blue-collar","married","secondary",427,371,3,"no"
33,"self-employed","married","tertiary",483,280,2,"no"
56,"unemployed","married","primary",3391,243,1,"yes"
27,"housemaid","married","primary",0,435,3,"no"
21,"student","single","secondary",2488,258,6,"yes"
58,"management","married","tertiary",1517,7,5,"no"
32,"self-employed","married","secondary",217,317,5,"no"
33,"blue-collar","single","secondary",22,76,2,"no"
25,"student","single","secondary",331,170,4,"yes"
25,"technician","single","secondary",505,386,2,"yes"
30,"services","married","secondary",1808,83,2,"no"
22,"admin.","single","secondary",4111,65,1,"no"
39,"blue-collar","married","primary",52,69,1,"no"
46,"management","divorced","tertiary",25,564,2,"no"
31,"admin.","divorced","secondary",1890,588,1,"no"
45,"blue-collar","married","primary",419,113,4,"no"
32,"technician","married","secondary",2693,16,1,"no"
36,"blue-collar","married","secondary",-231,779,2,"no"
51,"management","single","tertiary",-55,281,2,"no"
34,"self-employed","single","tertiary",462,1877,3,"yes"
24,"unemployed","single","secondary",119,51,1,"no"
45,"technician","single","secondary",586,32,3,"no"
32,"blue-collar","single","secondary",228,176,1,"no"
77,"retired","divorced","tertiary",4659,161,1,"yes"
41,"blue-collar","married","primary",168,187,3,"no"
37,"blue-collar","married","primary",0,24,1,"no"
43,"blue-collar","married",NA,-715,67,3,"no"
48,"admin.","married",NA,0,85,1,"no"
27,"technician","single","secondary",769,317,2,"no"
33,"management","single","tertiary",0,236,10,"no"
29,"admin.","single","secondary",428,54,1,"no"
34,"management","single","tertiary",0,71,1,"no"
52,"management","married","tertiary",-970,489,1,"yes"
60,"management","married",NA,6313,39,2,"no"
32,"management","divorced","tertiary",948,204,2,"no"
32,"management","single","tertiary",0,455,2,"no"
56,"services","divorced",NA,1877,86,1,"no"
31,"management","single","tertiary",874,190,2,"no"
42,"admin.","married","secondary",323,280,2,"no"
35,"management","married","tertiary",106,588,2,"no"
56,"retired","married","primary",1906,45,9,"no"
48,"technician","married","secondary",1152,168,5,"no"
46,"admin.","married","secondary",179,194,4,"no"
37,"technician","single",NA,391,103,3,"no"
41,"entrepreneur","married",NA,89,333,2,"no"
36,"management","single","tertiary",442,102,3,"no"
45,"unemployed","divorced","primary",-249,92,1,"no"
55,"entrepreneur","married","secondary",8104,213,2,"no"
39,"technician","married","secondary",501,289,1,"no"
35,"technician","divorced","secondary",308,77,2,"no"
55,"admin.","married","secondary",602,324,3,"yes"
55,"technician","married","secondary",273,84,3,"no"
27,"self-employed","single","secondary",50,168,1,"no"
34,"technician","married","secondary",1641,380,1,"no"
34,"blue-collar","married","tertiary",20,10,1,"no"
25,"admin.","single","secondary",4590,199,2,"no"
41,"admin.","single","secondary",-256,35,3,"no"
43,"services","married","secondary",978,82,2,"no"
28,"management","single","tertiary",80,676,2,"yes"
31,"admin.","single","secondary",2104,455,1,"no"
78,"housemaid","married","secondary",499,80,4,"no"
45,"blue-collar","divorced","secondary",1269,549,2,"no"
48,"technician","married","tertiary",310,135,1,"no"
32,"blue-collar","single","secondary",1143,412,1,"no"
42,"technician","married","secondary",2980,101,3,"no"
37,"management","single","tertiary",37,253,2,"no"
40,"admin.","single","secondary",462,272,1,"no"
32,"admin.","married","secondary",1031,84,1,"no"
42,"management","married","tertiary",9009,135,2,"no"
43,"admin.","married","secondary",-465,166,1,"no"
44,"admin.","married","secondary",5181,18,7,"no"
37,"admin.","married","secondary",176,147,2,"no"
37,"unknown","married",NA,1699,63,1,"no"
37,"admin.","married","tertiary",0,65,2,"no"
28,"technician","single","tertiary",172,194,2,"no"
32,"services","single","secondary",0,333,2,"no"
34,"admin.","single","secondary",6979,14,5,"no"
40,"admin.","divorced","secondary",6,140,1,"no"
34,"services","married","secondary",-62,109,3,"no"
34,"self-employed","married","tertiary",1972,61,2,"no"
34,"admin.","married","tertiary",899,377,3,"no"
37,"services","single","secondary",21,96,1,"no"
36,"technician","married","secondary",23,152,2,"no"
56,"retired","married","secondary",-1206,382,2,"yes"
49,"blue-collar","married","primary",0,97,6,"no"
33,"self-employed","married","secondary",215,543,12,"no"
30,"management","single","tertiary",1372,240,2,"no"
36,"services","married","secondary",1981,48,2,"no"
23,"student","single","secondary",9216,471,2,"no"
57,"retired","divorced","secondary",39,354,3,"no"
27,"blue-collar","single","secondary",5563,435,2,"no"
38,"services","married","secondary",1,152,2,"no"
42,"technician","married","tertiary",782,285,1,"no"
75,"retired","married","secondary",3771,185,1,"yes"
34,"technician","single","tertiary",992,301,1,"no"
48,"technician","married","secondary",1526,273,2,"no"
35,"technician","single","tertiary",2658,768,2,"yes"
39,"management","divorced","tertiary",1315,1337,4,"no"
29,"blue-collar","single","tertiary",455,403,1,"yes"
45,"technician","single","tertiary",0,139,2,"no"
42,"technician","married","secondary",2030,196,1,"no"
29,"technician","married","secondary",1599,115,1,"no"
38,"services","single","secondary",-196,60,1,"no"
56,"retired","married","secondary",1333,17,14,"no"
36,"technician","single","secondary",9149,141,3,"no"
25,"blue-collar","single","secondary",-350,95,3,"no"
38,"technician","married","tertiary",432,10,2,"no"
57,"self-employed","married","secondary",11494,198,1,"no"
31,"management","married","tertiary",-253,220,4,"no"
42,"management","married","tertiary",372,654,2,"yes"
45,"technician","married","secondary",1410,71,2,"no"
30,"blue-collar","married","secondary",975,256,2,"no"
49,"blue-collar","married","primary",305,834,10,"no"
49,"services","married","secondary",400,151,3,"no"
53,"retired","married","tertiary",-22,20,3,"no"
37,"technician","married","secondary",4030,178,5,"no"
49,"blue-collar","married","primary",365,59,2,"no"
41,"self-employed","married","primary",204,111,7,"no"
54,"management","married","primary",1691,186,1,"no"
32,"services","single","secondary",406,227,1,"no"
33,"technician","married","secondary",-204,297,3,"no"
33,"technician","married","secondary",359,210,1,"no"
36,"blue-collar","married","primary",123,9,1,"no"
35,"technician","married","tertiary",0,112,1,"no"
52,"unknown","married","secondary",142,112,6,"no"
40,"entrepreneur","married","tertiary",3571,222,3,"no"
44,"technician","single","secondary",33,195,3,"no"
45,"blue-collar","single","secondary",0,768,2,"no"
30,"student","single","secondary",3096,123,1,"no"
48,"technician","divorced","secondary",20,145,3,"no"
33,"blue-collar","married","secondary",3576,124,1,"no"
57,"technician","married",NA,206,216,3,"no"
57,"housemaid","married","primary",7082,69,3,"no"
51,"unemployed","married","tertiary",1634,168,4,"no"
34,"admin.","single","secondary",1,483,7,"no"
50,"self-employed","married","tertiary",4012,690,3,"no"
44,"management","married","tertiary",3762,125,12,"no"
27,"admin.","married","secondary",-247,344,2,"no"
50,"blue-collar","married","secondary",606,673,2,"no"
36,"management","married","tertiary",0,60,1,"no"
42,"management","married","secondary",-189,247,2,"no"
32,"unemployed","single","secondary",0,123,2,"no"
42,"management","married","tertiary",484,144,2,"no"
43,"technician","married","secondary",0,9,2,"no"
31,"management","married","tertiary",395,155,3,"no"
32,"management","married","tertiary",2349,134,5,"no"
55,"blue-collar","divorced","primary",410,221,2,"no"
58,"retired","married","primary",3401,84,3,"no"
46,"blue-collar","married","primary",222,71,2,"no"
55,"blue-collar","married","secondary",989,246,4,"no"
34,"management","married","tertiary",415,361,2,"no"
28,"unemployed","single","secondary",16,119,4,"no"
42,"technician","divorced","tertiary",7190,375,2,"no"
29,"blue-collar","single","secondary",482,1097,3,"yes"
54,"housemaid","married","secondary",209,97,1,"no"
32,"technician","single","secondary",0,181,2,"no"
39,"technician","single","tertiary",5803,83,3,"no"
53,"entrepreneur","married","tertiary",624,180,4,"no"
58,"technician","married","tertiary",883,543,1,"no"
40,"self-employed","married","secondary",1516,373,1,"no"
29,"student","single","secondary",872,230,1,"no"
33,"technician","married","tertiary",-988,83,3,"no"
38,"admin.","single","secondary",902,58,13,"no"
56,"services","divorced","secondary",1007,88,6,"no"
40,"services","married","secondary",0,297,1,"no"
24,"blue-collar","single","secondary",174,487,1,"yes"
46,"management","married","secondary",12186,29,3,"no"
35,"self-employed","married","secondary",524,484,4,"no"
35,"blue-collar","single","tertiary",0,262,4,"no"
34,"technician","married","secondary",4,644,1,"no"
35,"housemaid","married","tertiary",11219,699,2,"no"
38,"technician","single","tertiary",0,247,2,"no"
50,"blue-collar","married","primary",5776,49,3,"no"
51,"blue-collar","divorced","primary",37,341,1,"no"
59,"self-employed","married","tertiary",593,64,2,"no"
32,"blue-collar","married","secondary",1148,121,1,"no"
37,"blue-collar","single","secondary",3561,98,1,"no"
42,"admin.","divorced","secondary",63,88,6,"no"
40,"student","married","secondary",260,197,6,"no"
28,"technician","single","tertiary",2269,331,1,"no"
47,"admin.","married","secondary",1060,83,3,"no"
27,"self-employed","married","secondary",-220,138,2,"no"
41,"management","married","tertiary",49,312,5,"no"
34,"admin.","married","tertiary",69,120,3,"yes"
50,"blue-collar","married","primary",4108,526,2,"yes"
47,"blue-collar","married","secondary",480,211,2,"no"
53,"services","married","secondary",4994,62,6,"no"
53,"technician","divorced","secondary",0,135,5,"no"
47,"management","married","tertiary",3681,101,2,"no"
49,"entrepreneur","divorced",NA,-701,988,2,"yes"
29,"management","married","tertiary",451,451,1,"no"
45,"blue-collar","divorced","primary",-311,1030,1,"yes"
