"limit_bal","sex","education","age","bill_amt","pay_amt"
500000,"male","university",35,207237,20001
140000,"male","university",42,139227,4325
50000,"male","high_school",32,40992,2026
580000,"male","graduate_school",31,2507,2190
180000,"female","graduate_school",48,8308,440
340000,"female","university",33,411,11038
30000,"female","graduate_school",30,3836,1016
270000,"female","graduate_school",32,54914,3000
60000,"female","graduate_school",24,6686,1049
260000,"female","graduate_school",30,0,0
20000,"male","high_school",48,10805,5000
100000,"female","high_school",36,101972,16608
360000,"male","other",31,275178,7500
20000,"male","university",24,10768,1502
60000,"female","graduate_school",27,0,0
140000,"male","graduate_school",35,325,537
10000,"female","high_school",43,1593,2006
280000,"female","graduate_school",29,1939,333
200000,"male","university",29,10538,6201
140000,"female","university",32,137647,5004
280000,"female","graduate_school",27,160889,9000
80000,"female","high_school",33,325,107
50000,"female","high_school",39,48694,1803
200000,"female","graduate_school",40,0,0
50000,"male","university",34,37699,2000
80000,"female","university",42,42656,1519
50000,"female","graduate_school",36,11684,45135
280000,"female","university",50,25040,41275
480000,"male","university",44,29112,43111
30000,"female","high_school",60,27331,2000
90000,"female","university",25,28276,1505
130000,"female","university",53,126750,5996
50000,"female","university",50,27525,1900
50000,"male","university",27,48655,460
170000,"female","university",56,4767,0
30000,"female","graduate_school",25,29628,1600
40000,"female","university",37,7613,0
610000,"male","graduate_school",31,348392,323014
110000,"female","high_school",45,9242,5000
20000,"male","graduate_school",25,0,0
280000,"male","graduate_school",32,3981,1355
290000,"female","graduate_school",50,165563,7000
150000,"female","university",25,69333,3401
360000,"male","graduate_school",40,499,0
120000,"male","university",45,63911,0
30000,"male","university",25,7160,1300
80000,"female","graduate_school",22,78028,3200
230000,"female","graduate_school",26,-10,2122
240000,"male","university",25,24640,1700
300000,"female","university",57,2890,390
50000,"female","other",32,10335,1200
280000,"female","graduate_school",34,95278,4525
50000,"male","graduate_school",35,50481,3183
20000,"male","high_school",48,250,0
230000,"female","graduate_school",40,360,0
150000,"male","high_school",27,85993,2922
730000,"male","high_school",56,746814,20500
30000,"female","university",22,-802,21286
500000,"female","university",43,374802,14000
340000,"male","university",34,335002,12510
70000,"female","high_school",43,26193,1500
80000,"female","university",44,7491,2900
230000,"female","high_school",49,224985,10000
440000,"female","university",27,197019,6040
80000,"male","university",48,74349,3400
240000,"female","university",50,978,193
30000,"male","university",38,28484,1905
250000,"male","graduate_school",41,173,0
140000,"female","university",37,143118,6400
400000,"male","high_school",53,15090,4004
20000,"male","graduate_school",44,18091,1600
50000,"male","high_school",40,50693,1747
70000,"female","high_school",48,62775,3000
50000,"male","university",26,46008,1007
240000,"female","university",39,9000,2831
200000,"male","university",33,110006,5000
130000,"male","university",27,7100,1100
170000,"female","graduate_school",31,757,4319
110000,"male","university",44,111188,6010
50000,"female","high_school",59,37201,1503
90000,"female","high_school",46,1609,1372
360000,"male","graduate_school",47,1548,0
120000,"female","university",30,121280,6026
190000,"male","high_school",44,291,0
50000,"male","university",24,51112,2109
110000,"female","high_school",36,114097,5620
200000,"male","graduate_school",28,972,0
160000,"female","university",27,0,418
50000,"female","university",31,47800,3725
400000,"male","university",42,2984,3369
80000,"male","university",32,1253,4091
340000,"female","university",43,106867,12002
120000,"female","graduate_school",26,112774,5000
260000,"male","graduate_school",27,868,1320
380000,"male","graduate_school",46,141102,5034
300000,"female","high_school",53,0,0
360000,"male","university",37,346,9182
60000,"female","university",47,54532,1970
80000,"female","high_school",28,2147,612
170000,"female","university",49,12769,3557
230000,"female","graduate_school",29,0,0
50000,"female","high_school",39,41250,1501
50000,"male","university",26,0,0
130000,"female","university",30,396,792
60000,"female","university",35,5601,0
50000,"male","graduate_school",40,50657,2015
410000,"male","graduate_school",37,5770,2290
10000,"male","university",22,7019,0
200000,"female","high_school",49,0,0
50000,"female","university",55,21371,1376
150000,"male","high_school",44,151009,6913
10000,"male","university",50,3664,1300
500000,"male","university",53,-12,1282
30000,"female","high_school",53,17585,1600
30000,"female","high_school",55,29278,1600
260000,"female","graduate_school",31,33142,2000
160000,"female","university",24,2227,0
50000,"female","graduate_school",27,451,0
120000,"female","university",25,120298,4007
60000,"female","high_school",33,56326,0
240000,"male","university",31,0,780
30000,"female","high_school",60,2365,0
200000,"female","university",31,24605,1462
