"school","sex","age","studytime","absences","G1","G2","final_grade"
"GP","female",18,2,6,5,6,6
"GP","female",17,2,4,5,5,6
"GP","female",15,2,10,NA,8,10
"GP","female",15,3,2,15,14,15
"GP","female",16,2,4,6,10,10
"GP","male",16,2,10,15,15,15
"GP","male",16,2,0,12,12,11
"GP","female",17,2,6,6,5,6
"GP","male",15,2,0,16,18,19
"GP","male",15,2,0,14,15,15
"GP","female",15,2,0,10,8,9
"GP","female",15,3,4,10,12,12
"GP","male",15,1,2,14,14,14
"GP","male",15,2,2,10,10,11
"GP","male",15,3,0,14,16,16
NA,"female",16,1,4,14,14,14
"GP","female",16,3,6,13,14,14
"GP","female",16,2,4,8,10,10
"GP","male",17,1,16,6,5,5
"GP","male",16,1,4,8,10,10
"GP","male",15,2,0,13,14,15
"GP","male",15,1,0,12,15,15
"GP","male",16,2,2,15,15,16
"GP","male",16,2,0,13,13,12
"GP","female",15,3,2,10,9,8
"GP","female",16,1,14,6,9,8
"GP","male",15,1,2,12,12,11
"GP","male",15,1,4,15,16,15
"GP","male",16,2,4,11,11,11
"GP","male",16,2,16,10,12,11
"GP","male",15,2,0,9,11,12
"GP","male",15,2,0,17,16,17
"GP","male",15,2,0,17,16,16
"GP","male",15,2,0,8,10,12
"GP","male",16,1,0,12,14,15
"GP","female",15,1,0,NA,7,6
"GP","male",15,3,2,15,16,18
"GP","male",16,3,7,15,16,15
"GP","female",15,3,2,12,12,11
"GP","female",15,1,8,14,13,13
"GP","female",16,2,25,7,10,11
"GP","male",15,1,8,12,12,12
"GP","male",15,2,2,19,18,18
"GP","male",15,1,0,8,8,11
"GP",NA,16,2,14,10,10,9
"GP","female",15,2,8,8,8,6
"GP","female",16,2,12,11,12,11
"GP","male",16,4,4,19,19,20
"GP","male",15,2,2,15,15,14
"GP","female",15,2,2,7,7,NA
"GP","female",16,2,2,12,13,13
"GP","female",15,2,2,11,13,13
"GP","male",15,1,6,11,11,10
"GP","female",15,1,0,8,10,11
"GP","female",15,1,6,10,13,13
"GP","female",16,2,8,8,9,10
"GP","female",15,2,0,14,15,15
"GP","male",15,2,4,14,15,15
"GP","male",15,2,2,9,10,9
"GP","female",16,2,2,15,16,16
"GP","female",16,2,6,10,11,11
"GP","female",16,1,6,10,8,11
"GP","female",16,2,4,8,10,9
"GP","female",16,3,2,10,9,9
"GP","female",15,2,0,10,10,10
"GP","female",16,2,2,16,15,15
"GP","male",15,4,4,13,13,12
"GP","female",16,4,4,7,7,6
"GP","female",15,2,2,8,9,8
"GP","female",15,4,12,16,16,16
"GP","male",16,4,0,13,15,15
"GP","male",15,4,0,10,10,10
"GP","female",15,2,2,8,6,5
"GP","male",16,1,2,12,12,14
"GP","female",16,2,54,11,12,11
"GP","male",15,2,6,9,9,10
"GP","male",15,4,8,11,11,10
"GP","female",16,4,0,11,11,11
"GP","male",17,1,2,8,8,10
"GP","female",16,2,12,5,5,5
"GP","male",15,1,2,10,12,12
"GP","male",15,3,4,11,10,11
"GP","female",15,2,10,7,6,6
"GP","male",15,2,4,15,15,15
"GP","female",15,2,2,9,10,10
"GP","female",15,2,6,7,9,8
"GP","female",16,2,4,8,7,6
"GP","female",15,3,4,13,14,14
"GP","male",16,2,12,11,10,10
"GP","male",16,2,18,8,6,7
"GP","female",16,3,0,7,7,8
"GP","female",15,1,4,16,17,18
"GP","female",16,2,4,7,6,6
"GP","female",16,2,0,11,10,10
"GP","male",15,4,6,11,13,14
"GP","female",15,4,2,7,10,10
"GP","male",16,1,2,11,15,15
"GP","female",16,2,2,8,9,10
"GP","female",16,1,6,11,14,14
"GP",NA,16,3,0,7,9,8
