"color","quality","alcohol","residual_sugar","density","pH"
"red",5,9.4,1.9,0.9978,3.51
"red",5,9.8,2.6,0.9968,3.2
"red",5,9.8,2.3,0.997,3.26
"red",6,9.8,1.9,0.998,3.16
"red",5,9.4,1.9,0.9978,3.51
"red",5,9.4,1.8,0.9978,3.51
"red",5,9.4,1.6,0.9964,3.3
"red",7,10,1.2,0.9946,3.39
"red",7,9.5,2,0.9968,3.36
"red",5,10.5,6.1,0.9978,3.35
"red",5,9.2,1.8,0.9959,3.28
"red",5,10.5,6.1,0.9978,3.35
"red",5,9.9,1.6,0.9943,3.58
"red",5,9.1,1.6,0.9974,3.26
"red",5,9.2,3.8,0.9986,3.16
"red",5,9.2,3.9,0.9986,3.17
"red",7,10.5,1.8,0.9969,3.3
"red",5,9.3,1.7,0.9968,3.11
"red",4,9,4.4,0.9974,3.38
"red",6,9.2,1.8,0.9969,3.04
"red",6,9.4,1.8,0.9968,3.39
"red",5,9.7,2.3,0.9982,3.52
"red",5,9.5,1.6,0.9966,3.17
"red",5,9.4,2.3,0.9968,3.17
"red",6,9.7,2.4,0.9968,3.43
"red",5,9.3,1.4,0.9955,3.34
"red",5,9.5,1.8,0.9962,3.28
"red",5,9.5,1.6,0.9966,3.17
"red",5,9.4,1.9,0.9972,3.47
"red",6,9.8,2,0.9964,3.38
"red",5,10.1,2.4,0.9958,3.35
"red",6,10.6,2.5,0.9966,3.46
"red",5,9.8,2.3,0.9966,3.17
"red",6,9.4,10.7,0.9993,3.45
"red",5,9.2,1.8,0.9957,3.38
"red",6,9.6,5.5,0.9986,3.4
"red",6,10.8,2.4,0.9975,3.42
"red",7,9.7,2.1,0.9968,3.23
"red",4,9.8,1.5,0.994,3.5
"red",NA,10.5,5.9,0.9978,3.33
"red",5,10.5,5.9,0.9978,3.33
"red",4,9.3,2.8,0.9976,3.26
"red",6,10.5,2.6,0.9968,3.21
"red",5,10.3,2.2,0.9968,3.3
"red",5,9.5,1.8,0.9962,3.48
"red",4,13.1,2.1,0.9934,3.9
"red",5,9.2,2.2,0.997,3.25
"red",5,9.5,1.6,0.9969,3.25
"red",5,9.2,1.6,0.9958,3.34
"red",5,9.2,1.4,0.9954,3.32
"red",5,9.2,1.7,0.9971,3.15
"red",6,9.4,2.2,0.9956,3.4
"red",6,9.4,2.1,0.9955,3.39
"red",5,9.4,3,0.997,3.2
"red",6,10.2,2.8,0.9955,3.17
"red",5,9.5,3.8,0.9978,3.34
"red",5,9.6,3.4,0.9971,3.04
"red",5,9.4,5.1,0.9983,3.26
"red",5,10,2.3,0.9975,3.43
"red",6,9.4,2.4,0.9962,3.41
"red",5,9.2,2.2,0.998,3.44
"red",5,9.3,1.8,0.9968,3.21
"red",7,9.5,1.9,0.9968,3.38
"red",5,9.8,2,0.9966,3.39
"red",5,10.9,4.65,0.9962,3.41
"red",5,10.9,4.65,0.9962,3.41
"red",5,9.6,1.5,0.9968,3.42
"red",5,10.7,1.6,0.9962,3.44
"red",5,10.7,2,0.9969,3.28
NA,6,10.5,1.9,0.9962,3.34
"red",6,9.5,1.9,0.9967,3.32
"red",5,9.5,2.1,0.9962,3.32
"red",5,9.5,1.9,0.9961,3.31
"red",4,9.2,2.1,0.9976,3.31
"red",5,9.6,2.5,0.9984,3.28
"red",5,10.5,2.2,0.9986,3.54
"red",5,10.5,2.2,0.9986,3.54
"red",6,10.7,2.4,0.9966,3.52
"red",5,10.1,2,0.9958,3.38
"red",4,9.1,1.5,0.9972,3.16
"red",5,9.2,1.6,0.9958,3.41
"red",5,9.4,1.9,0.9974,3.13
"red",5,9.1,2,0.997,3.36
"red",5,9.4,1.8,0.9969,3.16
"red",6,10.3,1.8,0.9959,3.44
"red",5,10.1,2.2,0.9961,3.41
"red",6,9.9,1.9,0.9972,2.93
"red",5,9.6,1.9,0.9966,3.39
"red",5,9.5,2.1,0.9978,3.14
"red",5,9,1.8,0.9978,3.48
"red",5,9.5,1.9,0.9964,3.23
"red",6,9.9,1.9,0.9972,2.93
"red",5,9.8,2,0.9972,2.93
"red",5,9.6,1.9,0.9966,3.39
"red",4,10.5,1.4,0.9938,3.75
"red",6,12.9,2.3,0.9932,3.85
"red",5,10.7,3,0.9965,3.45
"red",5,9.2,2,0.9963,3.25
"red",5,9.8,2.5,0.9967,3.39
"red",6,9,1.9,0.9972,3.3
"red",6,10.2,2.1,0.9972,3.4
"red",6,10.4,1.9,0.9959,3.31
"red",6,9,1.9,0.9972,3.3
"red",5,9.2,2.1,0.9967,3.29
"red",5,9.4,2.2,0.996,3.33
"red",5,9.2,2.1,0.9967,3.29
"red",5,9.3,1.7,0.9973,3.08
"red",5,9.3,1.7,0.9969,3.46
"red",6,9.6,2.5,0.9976,3.37
"red",5,9.3,2,0.9969,3.21
"red",5,9.5,1.8,0.9964,3.19
"red",5,9.8,2.2,0.9964,3.15
"red",5,9.8,2.2,0.9964,3.15
"red",6,9.7,2.3,0.9988,3.32
"red",5,9.5,1.8,0.9964,3.19
"red",6,10.5,2.2,0.9966,3.07
"red",6,10,1.9,0.9978,3.39
"red",6,9.4,2,0.997,3.37
"red",6,10.9,2.2,0.9962,3.21
"red",6,9.2,1.8,0.9959,3.34
"red",5,9,1.7,0.9962,3.3
"red",6,10.9,2.2,0.9962,3.21
"red",5,9.2,2.5,0.998,3.49
"red",5,9.5,2.6,0.9976,3.44
"red",5,9.5,1.6,0.996,3.39
"red",5,9.4,1.9,0.9984,3.16
"red",5,10.9,1.7,0.9964,3.53
"red",5,10.9,1.8,0.9964,3.54
"red",7,10.5,1.8,0.9962,3.42
"red",5,9.4,1.8,0.9955,3.42
"red",5,9.4,2,0.9968,3.24
"red",5,13,2.3,0.9937,3.63
"red",5,13,2.3,0.9937,3.63
"red",6,9.8,1.5,0.9952,3.4
"red",6,9.9,2.2,0.9959,3.22
"red",5,9.6,1.9,0.9965,3.19
"red",5,9.5,1.8,0.9968,3.23
"red",5,9.2,2,0.9972,3.48
"red",5,9.5,2.1,0.9962,3.33
"red",5,9.5,2,0.9962,3.32
"red",5,9.6,1.9,0.9965,3.19
"red",5,9.5,1.8,0.9968,3.23
"red",6,14,1.8,0.9916,3.68
"red",5,9.4,1.7,0.9954,3.34
"red",6,14,1.8,0.9916,3.68
"red",5,9.4,1.8,0.9968,3.17
"red",5,10,1.8,0.9944,3.54
"red",5,9.3,1.6,0.9968,3.11
"red",6,10.2,2.3,0.9959,3.42
"red",6,10.5,2.8,0.9975,3.53
"red",6,10.3,2.1,0.9958,3.33
"red",4,9.4,3.4,0.9996,2.74
"red",5,10.1,1.8,0.995,3.35
